rms_full,rms_provider,rms_type,display_name,category,track,tf_resource,confidence
flexusrds.nodes,flexusrds,nodes,Nodes,Database,tracked,,unmapped
ga.accelerators,ga,accelerators,Accelerators,Network,tracked,huaweicloud_ga_accelerator,manual
gaussdb.instance,gaussdb,instance,Instances,Database,tracked,huaweicloud_gaussdb_opengauss_instance,manual
gaussdb.nodes,gaussdb,nodes,Nodes,Database,tracked,huaweicloud_gaussdb_opengauss_instance,manual
gaussdbformysql.instance,gaussdbformysql,instance,Instances,Database,tracked,huaweicloud_gaussdb_mysql_instance,manual
gaussdbformysql.nodes,gaussdbformysql,nodes,Nodes,Database,tracked,huaweicloud_gaussdb_mysql_instance,manual
gaussdbformysql.proxies,gaussdbformysql,proxies,Proxies,Database,tracked,huaweicloud_gaussdb_mysql_proxy,manual
gaussdbformysql.proxynodes,gaussdbformysql,proxynodes,Proxy Nodes,Database,tracked,huaweicloud_gaussdb_mysql_proxy,manual
ges.graphs,ges,graphs,Graphs,EI Enterprise,tracked,huaweicloud_ges_graph,manual
hcss.l-instance,hcss,l-instance,L-instance,Huawei Cloud Flexus,tracked,,unmapped
hecs.hcloudservers,hecs,hcloudservers,HECSs,Computing,tracked,huaweicloud_compute_instance,manual
hilens.commission_skill,hilens,commission_skill,Skills,EI Enterprise,tracked,,unmapped
hss.agents,hss,agents,Agents,Security,tracked,huaweicloud_hss_host_protection,manual
iam.users,iam,users,Users,Management & Deployment,untracked,huaweicloud_identity_user,manual
iam.groups,iam,groups,Groups,Management & Deployment,untracked,huaweicloud_identity_group,manual
iam.agencies,iam,agencies,Agencies,Management & Deployment,untracked,huaweicloud_identity_agency,manual
iam.roles,iam,roles,Roles,Management & Deployment,untracked,huaweicloud_identity_role,manual
iam.policies,iam,policies,Policies,Management & Deployment,untracked,huaweicloud_identity_role,manual
idee.idee,idee,idee,Industrial Data ExchangeEngine Service,Industrial Software,untracked,,unmapped
identitycenter.instances,identitycenter,instances,Instances,Management & Deployment,untracked,,unmapped
identitycenter.idp,identitycenter,idp,idp,Management & Deployment,untracked,,unmapped
identitycenter.scim,identitycenter,scim,scim,Management & Deployment,untracked,,unmapped
idme.runtime,idme,runtime,Runtime,Industrial Software,tracked,,unmapped
idme.studio,idme,studio,Studio,Industrial Software,tracked,,unmapped
idme.linkx-f,idme,linkx-f,Linkx-f,Industrial Software,untracked,,unmapped
ief.appinstances,ief,appinstances,Containerized Applications,IOT,tracked,,unmapped
iotda.iotda,iotda,iotda,Basic Instances,IOT,tracked,,unmapped
iotda.iotda_instance,iotda,iotda_instance,Enterprise Instances,IOT,tracked,huaweicloud_iotda_space,manual
iotda.iotda_standardinstance,iotda,iotda_standardinstance,Standard Instances,IOT,tracked,,unmapped
ipdcenter.envs,ipdcenter,envs,DigitalProductServices,Industrial Software,untracked,,unmapped
kms.keys,kms,keys,Keys,Security,tracked,huaweicloud_kms_key,manual
koodrive.instance,koodrive,instance,KooDrive,Computing,untracked,,unmapped
kps.keypairs,kps,keypairs,Key Pairs,Security,tracked,huaweicloud_kps_keypair,manual
lakeformation.instance,lakeformation,instance,instance,EI Enterprise,tracked,huaweicloud_lakeformation_instance,manual
live.domain,live,domain,Domain Names,Video,tracked,huaweicloud_live_domain,manual
lts.topics,lts,topics,Log Streams,Management & Deployment,tracked,huaweicloud_lts_stream,manual
modelarts.service,modelarts,service,Services,EI Enterprise,tracked,huaweicloud_modelarts_service,manual
modelarts.nodeservice,modelarts,nodeservice,Edge Services,EI Enterprise,tracked,,unmapped
modelarts.model,modelarts,model,Models,EI Enterprise,tracked,huaweicloud_modelarts_model,manual
modelarts.inferpool,modelarts,inferpool,Resource Pools for Inference,EI Enterprise,tracked,huaweicloud_modelarts_resource_pool,manual
modelarts.trainpool,modelarts,trainpool,Resource Pools for Training,EI Enterprise,tracked,,unmapped
modelarts.notebook,modelarts,notebook,Notebook Instances,EI Enterprise,tracked,huaweicloud_modelarts_notebook,manual
modelarts.pools,modelarts,pools,Resource Pool,EI Enterprise,untracked,huaweicloud_modelarts_resource_pool,manual
mrs.mrs,mrs,mrs,Clusters,EI Enterprise,tracked,huaweicloud_mrs_cluster,manual
mssi.flow,mssi,flow,Flows,Application,tracked,huaweicloud_mssi_flow,manual
nosql.instances,nosql,instances,Instances,Database,tracked,huaweicloud_gaussdb_cassandra_instance,manual
nosql.nodes,nosql,nodes,Nodes,Database,tracked,huaweicloud_gaussdb_cassandra_instance,manual
obs.buckets,obs,buckets,Buckets,Storage,tracked,huaweicloud_obs_bucket,manual
organizations.account,organizations,account,Accounts,Management & Deployment,untracked,huaweicloud_organizations_account,manual
pca.ca,pca,ca,Certificate Authority,Security,tracked,huaweicloud_ccm_private_ca,manual
pca.cert,pca,cert,Certificates,Security,tracked,huaweicloud_ccm_private_certificate,manual
peda.instances,peda,instances,Instances,Industrial Software,untracked,,unmapped
res.datasources,res,datasources,Data Sources,EI Enterprise,tracked,,unmapped
res.scenes,res,scenes,Scenes,EI Enterprise,tracked,,unmapped
rf.stack,rf,stack,Stacks,Management & Deployment,tracked,huaweicloud_rf_stack,manual
roma.instances,roma,instances,Instances,Enterprise Application,tracked,huaweicloud_roma_connect_instance,manual
scm.cert,scm,cert,Certificates,Security,tracked,huaweicloud_scm_cert,manual
sfsturbo.shares,sfsturbo,shares,File Systems,Storage,tracked,huaweicloud_sfs_turbo,manual
smn.topic,smn,topic,Topics,Computing,tracked,huaweicloud_smn_topic,manual
swr.instances,swr,instances,Enterprise Edition Instances,Computing,untracked,huaweicloud_swr_repository,manual
swr.repositories,swr,repositories,Enterprise Edition Repositories,Computing,untracked,huaweicloud_swr_repository,manual
ugo.evaluationJob,ugo,evaluationJob,Object Evaluation Projects,Database,tracked,,unmapped
ugo.migrationJob,ugo,migrationJob,Object Migration Projects,Database,tracked,,unmapped
vpcep.endpoints,vpcep,endpoints,VPC Endpoints,Network,tracked,huaweicloud_vpcep_endpoint,manual
vpcep.endpointServices,vpcep,endpointServices,VPC Endpoint Services,Network,tracked,huaweicloud_vpcep_service,manual
vpnaas.vpnConnections,vpnaas,vpnConnections,Shared VPN Connections,Network,tracked,huaweicloud_vpn_connection,manual
vpnaas.vpnGateways,vpnaas,vpnGateways,Shared VPN Gateways,Network,tracked,huaweicloud_vpn_gateway,manual
vpnaas.p2c-vpn-gateways,vpnaas,p2c-vpn-gateways,p2c-vpn-gateways,Network,tracked,huaweicloud_vpn_gateway,manual
vpnaas.vpnservices,vpnaas,vpnservices,Classic VPN Gateways,Network,tracked,huaweicloud_vpn_gateway,manual
vpnaas.ipsec-site-connections,vpnaas,ipsec-site-connections,Classic VPN Connections,Network,tracked,huaweicloud_vpn_connection,manual
waf.policy,waf,policy,Policies,Security,tracked,huaweicloud_waf_policy,manual
waf.instance,waf,instance,Instances,Security,tracked,huaweicloud_waf_dedicated_instance,manual
waf.certificate,waf,certificate,Certificates,Security,tracked,huaweicloud_waf_certificate,manual
workspace.desktops,workspace,desktops,desktops,Application,untracked,huaweicloud_workspace_desktop,manual
workspace.wdh,workspace,wdh,workspace dedicated host,Application,untracked,,unmapped
workspace.exclusive-hosts,workspace,exclusive-hosts,exclusive hosts,Application,untracked,,unmapped
workspace.servers,workspace,servers,Servers,Application,untracked,huaweicloud_workspace_app_server_group,manual
